-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.800, 80.199, 0.021,  0.148
-183.800, 80.199, 0.020,  0.181
-183.800, 80.198, 0.021,  0.214
-183.800, 80.198, 0.025,  0.247
-183.800, 80.197, 0.045,  0.280
-183.799, 80.193, 0.117,  0.313
-183.797, 80.186, 0.224,  0.346
-183.792, 80.173, 0.365,  0.379
-183.786, 80.159, 0.433,  0.412
-183.778, 80.142, 0.511,  0.445
-183.767, 80.122, 0.596,  0.478
-183.753, 80.100, 0.707,  0.511
-183.734, 80.074, 0.837,  0.544
-183.712, 80.044, 0.933,  0.577
-183.688, 80.011, 1.061,  0.610
-183.661, 79.974, 1.215,  0.643
-183.633, 79.933, 1.364,  0.676
-183.604, 79.887, 1.511,  0.709
-183.573, 79.837, 1.649,  0.742
-183.542, 79.783, 1.770,  0.775
-183.510, 79.727, 1.853,  0.808
-183.479, 79.669, 1.902,  0.841
-183.447, 79.611, 1.923,  0.874
-183.416, 79.553, 1.924,  0.907
-183.386, 79.496, 1.908,  0.940
-183.356, 79.439, 1.881,  0.973
-183.326, 79.384, 1.846,  1.006
-183.297, 79.331, 1.805,  1.039
-183.268, 79.279, 1.759,  1.072
-183.240, 79.228, 1.710,  1.105
-183.213, 79.180, 1.636,  1.138
-183.187, 79.133, 1.579,  1.171
-183.161, 79.089, 1.532,  1.204
-183.135, 79.045, 1.499,  1.237
-183.109, 79.002, 1.480,  1.270
-183.084, 78.959, 1.479,  1.303
-183.058, 78.916, 1.496,  1.336
-183.031, 78.871, 1.530,  1.369
-183.005, 78.825, 1.579,  1.402
-182.977, 78.778, 1.639,  1.435
-182.949, 78.727, 1.706,  1.468
-182.921, 78.675, 1.775,  1.501
-182.892, 78.621, 1.837,  1.534
-182.863, 78.565, 1.873,  1.567
-182.835, 78.508, 1.886,  1.600
-182.807, 78.452, 1.880,  1.633
-182.780, 78.396, 1.860,  1.666
-182.754, 78.341, 1.830,  1.699
-182.728, 78.287, 1.792,  1.732
